AreaID,AreaType,PercWtTN,PercWtTOC,VolumeFresh_cm3,TotalDryWeight_g,DryBulkDensity_g_cm3
OA10,cordgrass only,0.44,5.14,39,9.809,0.251512821
OA2,cordgrass only,0.42,5.15,54,13.911,0.257611111
OA4,cordgrass only,0.42,5.3,53,9.635,0.181792453
OA5,cordgrass only,0.38,4.23,88,18.598,0.211340909
OA6,cordgrass only,0.38,4.35,67,17.754,0.264985075
OA9,cordgrass only,0.43,5.02,57,10.809,0.189631579
OC1,cordgrass only,0.39,4.27,55,10.252,0.1864
OC2,cordgrass only,0.41,4.21,67,14.302,0.213462687
OC3,cordgrass only,0.39,3.89,67,14.616,0.218149254
OC4,cordgrass only,0.35,3.75,59,18.293,0.310050847
OC7,cordgrass only,0.39,4.6,79,19.838,0.251113924
OC9,cordgrass only,0.38,3.83,80,20.465,0.2558125
OL1,cordgrass only,0.43,4.99,47,11.103,0.236234043
OL3,cordgrass only,0.37,NA,75,23.614,0.314853333
OL5,cordgrass only,0.38,4.27,57,27.824,0.488140351
OL8,cordgrass only,0.37,4.13,50,14.01,0.2802
ON1,cordgrass only,0.38,4.27,72,22.327,0.310097222
ON10,cordgrass only,0.4,4.41,31,8.353,0.269451613
ON2,cordgrass only,0.38,4.74,43,9.357,0.217604651
ON4,cordgrass only,0.4,4.46,56,13.743,0.245410714
ON6,cordgrass only,0.39,NA,77,6.954,0.090311688
A10,mussels,0.44,4.84,34,7.344,0.216
A2,mussels,0.4,4.74,62,12.402,0.200032258
A4,mussels,0.41,3.62,35,7.427,0.2122
A5,mussels,0.38,4.01,71,18.913,0.266380282
A6,mussels,0.38,4.03,54,17.083,0.316351852
A9,mussels,0.43,4.79,52,8.215,0.157980769
C1,mussels,0.41,4.96,88,14.756,0.167681818
C2,mussels,0.4,4.64,73,19.722,0.270164384
C3,mussels,0.39,3.73,86,17.117,0.199034884
C4,mussels,0.38,3.91,65,13.287,0.204415385
C7,mussels,0.4,4.38,78,19.383,0.2485
C9,mussels,0.37,3.92,81,14.708,0.181580247
L1,mussels,0.4,4.36,71,15.675,0.220774648
L5,mussels,0.39,4.06,70,15.33,0.219
L8,mussels,0.39,3.96,87,18.646,0.214321839
N1,mussels,0.38,3.82,71,18.039,0.254070423
N10,mussels,0.41,3.99,46,10.745,0.233586957
N2,mussels,0.39,4.43,83,18.327,0.220807229
N4,mussels,0.39,4.68,49,10.997,0.224428571
N6,mussels,0.38,NA,67,13.725,0.204850746
