"","AreaType","d13C","d15N","Density"
"1","cordgrass only",-19.09206517,3.725603473,"45"
"2","cordgrass only",-18.82758558,3.80650358,"261"
"3","cordgrass only",-18.69738025,3.977285398,"43"
"4","cordgrass only",-19.63424832,4.312192819,"396"
"5","cordgrass only",-19.77767764,4.595961682,"296"
"6","cordgrass only",-19.00865238,3.867989263,"153"
"7","cordgrass only",-19.91093466,4.13170379,"262"
"8","cordgrass only",-20.17337979,4.741161843,"282"
"9","cordgrass only",-20.25170643,4.543820407,"453"
"10","cordgrass only",-20.16931087,4.564877461,"238"
"11","cordgrass only",-19.41961296,4.429943732,"69"
"12","cordgrass only",-20.04215722,4.921844652,"288"
"13","cordgrass only",-19.70647159,4.34026889,"154"
"14","cordgrass only",-19.57830072,4.519755203,"30"
"15","cordgrass only",-19.65561013,4.23598634,"88"
"16","cordgrass only",-19.76343643,4.707263251,"326"
"17","cordgrass only",-19.25278738,4.150755409,"247"
"18","cordgrass only",-19.30364884,4.184984961,"347"
"19","cordgrass only",-19.37383765,4.377369413,"683"
"20","mussels",-19.48166394,4.013383204,"76"
"21","mussels",-19.62335657,4.458589476,"200"
"22","mussels",-19.48563689,3.98,"100"
"23","mussels",-20.21504112,4.461065543,"304"
"24","mussels",-20.20687995,4.698238799,"200"
"25","mussels",-19.47951602,4.13471194,"68"
"26","mussels",-19.3199245,4.671165445,"84"
"27","mussels",-19.76140197,4.54281769,"260"
"28","mussels",-21.09804111,4.860678926,"172"
"29","mussels",-20.67487377,4.603983417,"144"
"30","mussels",-19.88041778,4.577912779,"120"
"31","mussels",-19.85803874,4.760407243,"68"
"32","mussels",-19.72783341,4.546399541,"128"
"33","mussels",-19.75631582,4.82458112,"56"
"34","mussels",-19.77259149,4.821572969,"8"
"35","mussels",-20.46803727,4.677181746,"96"
"36","mussels",-20.54760864,4.244008075,"172"
"37","mussels",-20.09772436,4.589568505,"152"
"38","mussels",-19.44483106,4.368344962,"228"
