"","d15N","d13C","Density"
"1",3.725603473,-19.09206517,"45"
"2",3.80650358,-18.82758558,"261"
"3",3.977285398,-18.69738025,"43"
"4",4.312192819,-19.63424832,"396"
"5",4.595961682,-19.77767764,"296"
"6",3.867989263,-19.00865238,"153"
"7",4.13170379,-19.91093466,"262"
"8",4.741161843,-20.17337979,"282"
"9",4.543820407,-20.25170643,"453"
"10",4.564877461,-20.16931087,"238"
"11",4.429943732,-19.41961296,"69"
"12",4.921844652,-20.04215722,"288"
"13",4.34026889,-19.70647159,"154"
"14",4.519755203,-19.57830072,"30"
"15",4.23598634,-19.65561013,"88"
"16",4.707263251,-19.76343643,"326"
"17",4.150755409,-19.25278738,"247"
"18",4.184984961,-19.30364884,"347"
"19",4.377369413,-19.37383765,"683"
